	PAD00_1	PAD_002	PAD00_3	ADI14_1	ADI14_2	ADI14_3
Adipocytes	0	0	0	0.3976	0.3437	0.3461
Astrocytes	0	0	0	0	0	0
B-cells	0	0.0011	0	0	0	0
Basophils	0.0071	0.0045	0	0.0133	0.005	0.0131
CD4+ T-cells	0	0	0	0	0	0
CD4+ Tcm	0.0048	0.0126	0	0	0	0
CD4+ Tem	0	0	0	0	0	0
CD4+ memory T-cells	1e-04	0	0.0022	0	0	0
CD4+ naive T-cells	0	0	0	0	0	0
CD8+ T-cells	0	0.0016	0	0	0.0029	1e-04
CD8+ Tcm	0	0	0	6e-04	0.002	0.001
CD8+ Tem	0	0	0	0	0	0
CD8+ naive T-cells	0	0	0.0014	2e-04	0	0
CLP	8e-04	0	0.0028	0.0042	0.0014	0.0022
CMP	0	0	0	0	0	0
Chondrocytes	0	0	0	0	0	0
Class-switched memory B-cells	0	0.0014	0	0	0.0025	0
DC	0	0	0	0	0	0
Endothelial cells	0	0	0	0	0	0
Eosinophils	0	0	0	0	0	0
Epithelial cells	4e-04	2e-04	0	0	0	0
Erythrocytes	0	0	0	0	0	0
Fibroblasts	0.034	0.078	0	0	0	0
GMP	0.0092	0	0.0087	0	0	0
HSC	0	0	0.0027	0	0	0
Hepatocytes	0	1e-04	0	0	0	0
Keratinocytes	0	0	0	0	0	0
MEP	0.0014	0	0.0041	0.0081	0.002	0.005
MPP	0	0	0	0	0	0
MSC	0.0181	0.0124	0	0	0	0
Macrophages	0	0	0	0	0	0
Macrophages M1	0	0	0	0	0	0
Macrophages M2	0.0029	0.0015	0	0.0098	0.0064	0.0058
Mast cells	0.0013	0.0017	0	0	0	0
Megakaryocytes	0	0	0	2e-04	2e-04	0
Melanocytes	5e-04	0.0011	0	0	0	0
Memory B-cells	0	0	0	0.0031	5e-04	7e-04
Mesangial cells	0	0	0	0	0	0
Monocytes	0	0	0	0	0	0
Myocytes	0.007	0.0066	7e-04	0	0	0
NK cells	0	0	0	0	0	0
NKT	0	0	0	0	0	0
Neurons	0	0	0	1e-04	1e-04	0
Neutrophils	0	0	0	0	0	0
Osteoblast	0.0134	0.0055	0.0043	0	0	0
Pericytes	0.0215	0.0172	0.0052	0	0	0
Plasma cells	0.001	4e-04	0	0.004	0.0043	0.0046
Platelets	0	0	0	0	0	0
Preadipocytes	0	0.0216	0.0017	0	0.0399	0.0308
Sebocytes	0	0	0	0	0	0
Skeletal muscle	0	0	0	0	0	0
Smooth muscle	0.0789	0.0621	0.08	0	0	0
Tgd cells	0	0	0	0	0	0
Th1 cells	0	0	0	2e-04	0	3e-04
Th2 cells	0.0421	0.0151	0.1116	0	0	0.0011
Tregs	0	0	0	0	0	0
aDC	0	0	0	0	0	0
cDC	0	0	0.0033	0	0	0
iDC	7e-04	0	0.008	0	0	0
ly Endothelial cells	0	0	0	0	0	0
mv Endothelial cells	0	0	0.0011	0	0	0
naive B-cells	0	0	0	0	0	0
pDC	0	3e-04	0	0	0	0
pro B-cells	4e-04	1e-04	0.0036	0	0	0
ImmuneScore	9e-04	0.0029	0	0	0.0019	1e-04
StromaScore	0.017	0.039	0	0.1988	0.1718	0.173
MicroenvironmentScore	0.0179	0.0419	0	0.1988	0.1738	0.1731
